VILLAGE,Perenial ,Active,Households,Status 
Aasu,0,NO,0,No longer used 
Afao,1,YES,70+,Actively used 
Afono,1,YES,??,Actively used 
Agugulu,,,,No Data 
Alao,1,YES,10+,Actively used 
Alega,1,YES,1+,Actively used 
Alofau,1,YES,6,Actively used 
Amaluia,1,YES,10,Actively used 
Amanave,1,,,No Data 
Amaua,1,NO,0,No longer used 
Amouli,1,YES,20+,Actively used 
Anua,,,,No Perenial Stream
Aoa,1,YES,20+,Actively used 
Aoloau,0,YES,??,Actively used 
Asili,1,YES,17,Actively used 
Atuu,0,NO,0,No longer used 
Aua,1,YES,??,Actively used 
Auasi,,,,No Data 
Aumi,,,,No Data 
Aunuu,0,NO,,No Perenial Stream
Auto,1,NO,0,No longer used 
Avaio,,,,No Data 
Fagaalu,1,YES,??,Actively used 
Fagaitua,1,Maybe,??,May be used
Fagalii,1,YES,30+,Actively used 
Fagamalo,1,Maybe,??,May be used
Faganeanea,1,Maybe ,??,May be used
Fagasa,1,YES,70,Actively used 
Fagatogo,1,NO,0,No longer used 
Failolo,,,,No Data 
Faleniu,0,,,No Perenial Stream
Fatumafuti,,,,No Perenial Stream
Futiga,0,NO,,No Perenial Stream
Iliili,0,,,No Perenial Stream
Laulii,1,YES,60+,Actively used 
Leloaloa,0,NO,,No Perenial Stream
Leone,1,YES,??,Actively used 
Malaeimi,,,,No Data 
Malaeloa Aitulagi,,,,No Perenial Stream
Malaeloa Ituau,,,,No Perenial Stream
Maloata,1,NO,0,No longer used 
Mapusagafou,0,NO,0,No longer used 
Masausi,1,YES,2,Actively used 
Masefau,1,Yes,10,Actively used 
Matuu,1,Maybe ,??,May be used
Mesepa,0,NO,,No Perenial Stream
Nua,1,YES,10+,Actively used 
Nuuuli,1,YES,??,Actively used 
Onenoa,1,YES,1,Actively used 
Pagai,,,,No Data 
Pago Pago,1,YES,8,Actively used 
Pavaiai,0,,,No Perenial Stream
Poloa,1,,,No Data 
Sailele,1,NO,0,No longer used 
Seetaga,1,YES,10+,Actively used 
Tafuna,0,NO,0,No longer used 
Taputimu,0,NO,,No Perenial Stream
Tula,1,,,No Data 
Utulei,1,,,No Data 
Utumea East,,,,No Data 
Utumea West,,,,No Data 
Vailoatai,0,NO,0,No longer used 
Vaitogi,0,NO,,No Perenial Stream
Vatia,1,YES,30,Actively used 
