Rowid_,VILLAGE,ZONE_CODE,COUNT,AREA,MAX
,Vatia,1,127845,1150604.999999995343387,470.481109619140625
,Tula,2,84469,760220.999999996856786,265.970947265625000
,Onenoa,3,37481,337328.999999998603016,320.617675781250000
,Sailele,4,34952,314567.999999998719431,254.956573486328125
,Masefau,5,135666,1220993.999999994877726,357.807647705078125
,Masausi,6,39848,358631.999999998486601,288.097839355468750
,Aoa,7,111731,1005578.999999995809048,293.052215576171875
,Alao,8,86760,780839.999999996740371,324.089538574218750
,Afono,9,167185,1504664.999999993713573,524.492919921875000
,Aua,10,84985,764864.999999996856786,524.416931152343750
,Pagai,11,35920,323279.999999998661224,287.741668701171875
,Fagaitua,12,71349,642140.999999997322448,333.270538330078125
,Amaua,13,27548,247931.999999998981366,351.812957763671875
,Auasi,14,36629,329660.999999998661224,323.863983154296875
,Auto,15,83651,752858.999999996856786,354.809539794921875
,Alofau,16,30158,271421.999999998894054,260.670532226562500
,Amouli,17,59341,534068.999999997788109,236.116439819335938
,Alega,18,77326,695933.999999997089617,356.320556640625000
,Fagatogo,19,33768,303911.999999998719431,365.517364501953125
,Avaio,20,6338,57041.999999999767169,230.019546508789062
,PagoPago,21,127277,1145492.999999995343387,486.952056884765625
,Utulei,22,9179,82610.999999999650754,263.471862792968750
,Laulii,23,155439,1398950.999999994179234,519.734802246093750
,Aumi,24,41394,372545.999999998428393,300.461242675781250
,Fagaalu,25,188983,1700846.999999993015081,654.068115234375000
,Fagasa,26,155071,1395638.999999994179234,520.723571777343750
,Matuu,27,73320,659879.999999997322448,600.858215332031250
,Faganeanea,28,70608,635471.999999997322448,647.733581542968750
,Fagamalo,29,81270,731429.999999996973202,394.167755126953125
,Fagalii,30,107329,965960.999999996041879,360.092620849609375
,Nuuuli,31,332411,2991698.999999987427145,653.192687988281250
,Maloata,32,244047,2196422.999999990686774,392.185577392578125
,Poloa,33,60874,547865.999999997671694,289.725128173828125
,Amanave,34,47726,429533.999999998195563,259.237854003906250
,Asili,35,179772,1617947.999999993247911,385.580688476562500
,Seetaga,36,131828,1186451.999999995110556,360.468261718750000
,UtumeaWest,37,45162,406457.999999998311978,335.719848632812500
,Failolo,38,23017,207152.999999999126885,249.528442382812500
,Afao,39,61156,550403.999999997671694,312.649841308593750
,Agugulu,40,46704,420335.999999998253770,290.144989013671875
,Leone,41,284350,2559149.999999989289790,419.981872558593750
,Amaluia,42,102120,919079.999999996158294,300.533020019531250
