"Plot Title: Vaipito_December"
"#","Date Time, GMT-11:00","Abs Pres, psi (LGR S/N: 10699249, SEN S/N: 10699249)","Temp, °F (LGR S/N: 10699249, SEN S/N: 10699249)","Coupler Detached (LGR S/N: 10699249)","End Of File (LGR S/N: 10699249)"
1,12/17/20 11:15:00 AM,14.6243,77.923,Logged,
2,12/17/20 11:30:00 AM,14.6304,77.749,,
3,12/17/20 11:45:00 AM,14.6388,77.574,,
4,12/17/20 12:00:00 PM,14.6337,77.400,,
5,12/17/20 12:15:00 PM,14.6331,77.225,,
6,12/17/20 12:30:00 PM,14.6304,77.050,,
7,12/17/20 12:45:00 PM,14.6275,76.876,,
8,12/17/20 01:00:00 PM,14.6253,76.876,,
9,12/17/20 01:15:00 PM,14.6230,76.876,,
10,12/17/20 01:30:00 PM,14.6236,77.050,,
11,12/17/20 01:45:00 PM,14.6169,77.050,,
12,12/17/20 02:00:00 PM,14.6191,77.050,,
13,12/17/20 02:15:00 PM,14.8587,76.703,,
14,12/17/20 02:30:00 PM,15.0464,76.354,,
15,12/17/20 02:45:00 PM,14.9879,76.354,,
16,12/17/20 03:00:00 PM,14.8951,76.181,,
17,12/17/20 03:15:00 PM,14.9131,76.181,,
18,12/17/20 03:30:00 PM,14.9907,75.832,,
19,12/17/20 03:45:00 PM,14.9630,75.659,,
20,12/17/20 04:00:00 PM,14.9174,75.484,,
21,12/17/20 04:15:00 PM,14.8838,75.484,,
22,12/17/20 04:30:00 PM,14.8590,75.484,,
23,12/17/20 04:45:00 PM,14.8439,75.659,,
24,12/17/20 05:00:00 PM,14.8303,75.659,,
25,12/17/20 05:15:00 PM,14.8213,75.659,,
26,12/17/20 05:30:00 PM,14.8101,75.659,,
27,12/17/20 05:45:00 PM,14.7921,75.659,,
28,12/17/20 06:00:00 PM,14.7808,75.659,,
29,12/17/20 06:15:00 PM,14.7634,75.832,,
30,12/17/20 06:30:00 PM,14.7477,75.832,,
31,12/17/20 06:45:00 PM,14.7342,75.832,,
32,12/17/20 07:00:00 PM,14.7252,75.832,,
33,12/17/20 07:15:00 PM,14.7163,75.832,,
34,12/17/20 07:30:00 PM,14.7073,75.832,,
35,12/17/20 07:45:00 PM,14.7010,76.006,,
36,12/17/20 08:00:00 PM,14.6944,76.006,,
37,12/17/20 08:15:00 PM,14.6920,76.006,,
38,12/17/20 08:30:00 PM,14.6899,76.006,,
39,12/17/20 08:45:00 PM,14.6836,76.181,,
40,12/17/20 09:00:00 PM,14.6791,76.181,,
41,12/17/20 09:15:00 PM,14.6769,76.181,,
42,12/17/20 09:30:00 PM,14.6791,76.181,,
43,12/17/20 09:45:00 PM,14.6791,76.181,,
44,12/17/20 10:00:00 PM,14.6746,76.181,,
45,12/17/20 10:15:00 PM,14.6725,76.181,,
46,12/17/20 10:30:00 PM,14.6752,76.354,,
47,12/17/20 10:45:00 PM,14.6730,76.354,,
48,12/17/20 11:00:00 PM,14.6707,76.354,,
49,12/17/20 11:15:00 PM,14.6685,76.354,,
50,12/17/20 11:30:00 PM,14.6662,76.354,,
51,12/17/20 11:45:00 PM,14.6623,76.528,,
52,12/18/20 12:00:00 AM,14.6578,76.528,,
53,12/18/20 12:15:00 AM,14.6533,76.528,,
54,12/18/20 12:30:00 AM,14.6511,76.528,,
55,12/18/20 12:45:00 AM,14.6443,76.528,,
56,12/18/20 01:00:00 AM,14.6421,76.528,,
57,12/18/20 01:15:00 AM,14.6375,76.528,,
58,12/18/20 01:30:00 AM,14.6337,76.703,,
59,12/18/20 01:45:00 AM,14.6246,76.703,,
60,12/18/20 02:00:00 AM,14.6246,76.703,,
61,12/18/20 02:15:00 AM,14.6201,76.703,,
62,12/18/20 02:30:00 AM,14.6179,76.703,,
63,12/18/20 02:45:00 AM,14.6156,76.703,,
64,12/18/20 03:00:00 AM,14.6089,76.703,,
65,12/18/20 03:15:00 AM,14.6066,76.703,,
66,12/18/20 03:30:00 AM,14.6021,76.703,,
67,12/18/20 03:45:00 AM,14.5999,76.703,,
68,12/18/20 04:00:00 AM,14.5982,76.876,,
69,12/18/20 04:15:00 AM,14.5937,76.876,,
70,12/18/20 04:30:00 AM,14.5937,76.876,,
71,12/18/20 04:45:00 AM,14.5892,76.876,,
72,12/18/20 05:00:00 AM,14.5870,76.876,,
73,12/18/20 05:15:00 AM,14.5870,76.876,,
74,12/18/20 05:30:00 AM,14.5870,76.876,,
75,12/18/20 05:45:00 AM,14.5892,76.876,,
76,12/18/20 06:00:00 AM,14.5892,76.876,,
77,12/18/20 06:15:00 AM,14.5892,76.876,,
78,12/18/20 06:30:00 AM,14.5870,76.876,,
79,12/18/20 06:45:00 AM,14.5802,76.876,,
80,12/18/20 07:00:00 AM,14.5892,76.876,,
81,12/18/20 07:15:00 AM,14.5892,76.876,,
82,12/18/20 07:30:00 AM,14.6005,76.876,,
83,12/18/20 07:45:00 AM,14.5960,76.876,,
84,12/18/20 08:00:00 AM,14.6027,76.876,,
85,12/18/20 08:15:00 AM,14.6027,76.876,,
