"Plot Title: Leone_Dec_12.17.2020"
"#","Date Time, GMT-11:00","Abs Pres, psi (LGR S/N: 20158653, SEN S/N: 20158653)","Temp, °F (LGR S/N: 20158653, SEN S/N: 20158653)","Coupler Detached (LGR S/N: 20158653)","End Of File (LGR S/N: 20158653)"
1,12/17/20 12:43:00 PM,15.0002,77.050,Logged,
2,12/17/20 12:58:00 PM,15.0903,76.528,,
3,12/17/20 01:13:00 PM,15.2271,76.181,,
4,12/17/20 01:28:00 PM,15.2243,75.832,,
5,12/17/20 01:43:00 PM,15.3102,75.659,,
6,12/17/20 01:58:00 PM,15.1377,75.484,,
7,12/17/20 02:13:00 PM,15.1051,75.484,,
8,12/17/20 02:28:00 PM,15.0680,75.484,,
9,12/17/20 02:43:00 PM,15.0770,75.312,,
10,12/17/20 02:58:00 PM,15.0468,75.312,,
11,12/17/20 03:13:00 PM,15.1119,75.312,,
12,12/17/20 03:28:00 PM,15.3256,74.964,,
13,12/17/20 03:43:00 PM,15.2345,74.791,,
14,12/17/20 03:58:00 PM,15.2252,74.791,,
15,12/17/20 04:13:00 PM,15.1251,74.791,,
16,12/17/20 04:28:00 PM,15.0742,74.964,,
17,12/17/20 04:43:00 PM,15.0533,74.964,,
18,12/17/20 04:58:00 PM,15.0326,75.139,,
19,12/17/20 05:13:00 PM,15.0118,75.312,,
20,12/17/20 05:28:00 PM,14.9959,75.484,,
21,12/17/20 05:43:00 PM,14.9798,75.659,,
22,12/17/20 05:58:00 PM,14.9659,75.659,,
23,12/17/20 06:13:00 PM,14.9614,75.832,,
24,12/17/20 06:28:00 PM,14.9498,75.832,,
25,12/17/20 06:43:00 PM,14.9431,76.006,,
26,12/17/20 06:58:00 PM,14.9431,76.006,,
27,12/17/20 07:13:00 PM,14.9385,76.006,,
28,12/17/20 07:28:00 PM,14.9385,76.006,,
29,12/17/20 07:43:00 PM,14.9316,76.181,,
30,12/17/20 07:58:00 PM,14.9363,76.181,,
31,12/17/20 08:13:00 PM,14.9340,76.181,,
32,12/17/20 08:28:00 PM,14.9293,76.181,,
33,12/17/20 08:43:00 PM,14.9247,76.181,,
34,12/17/20 08:58:00 PM,14.9273,76.354,,
35,12/17/20 09:13:00 PM,14.9296,76.354,,
36,12/17/20 09:28:00 PM,14.9250,76.354,,
37,12/17/20 09:43:00 PM,14.9273,76.354,,
38,12/17/20 09:58:00 PM,14.9250,76.354,,
39,12/17/20 10:13:00 PM,14.9273,76.354,,
40,12/17/20 10:28:00 PM,14.9251,76.528,,
41,12/17/20 10:43:00 PM,14.9297,76.528,,
42,12/17/20 10:58:00 PM,14.9297,76.528,,
43,12/17/20 11:13:00 PM,14.9297,76.528,,
44,12/17/20 11:28:00 PM,14.9251,76.528,,
45,12/17/20 11:43:00 PM,14.9228,76.528,,
46,12/17/20 11:58:00 PM,14.9231,76.703,,
47,12/18/20 12:13:00 AM,14.9184,76.703,,
48,12/18/20 12:28:00 AM,14.9138,76.703,,
49,12/18/20 12:43:00 AM,14.9115,76.703,,
50,12/18/20 12:58:00 AM,14.9092,76.703,,
51,12/18/20 01:13:00 AM,14.9045,76.703,,
52,12/18/20 01:28:00 AM,14.8976,76.703,,
53,12/18/20 01:43:00 AM,14.8931,76.876,,
54,12/18/20 01:58:00 AM,14.8931,76.876,,
55,12/18/20 02:13:00 AM,14.8931,76.876,,
56,12/18/20 02:28:00 AM,14.8861,76.876,,
57,12/18/20 02:43:00 AM,14.8815,76.876,,
58,12/18/20 02:58:00 AM,14.8791,76.876,,
59,12/18/20 03:13:00 AM,14.8791,76.876,,
60,12/18/20 03:28:00 AM,14.8745,76.876,,
61,12/18/20 03:43:00 AM,14.8698,76.876,,
62,12/18/20 03:58:00 AM,14.8698,76.876,,
63,12/18/20 04:13:00 AM,14.8652,76.876,,
64,12/18/20 04:28:00 AM,14.8606,76.876,,
65,12/18/20 04:43:00 AM,14.8582,76.876,,
66,12/18/20 04:58:00 AM,14.8582,76.876,,
67,12/18/20 05:13:00 AM,14.8559,76.876,,
68,12/18/20 05:28:00 AM,14.8582,76.876,,
69,12/18/20 05:43:00 AM,14.8606,76.876,,
70,12/18/20 05:58:00 AM,14.8606,76.876,,
71,12/18/20 06:13:00 AM,14.8582,76.876,,
72,12/18/20 06:28:00 AM,14.8559,76.876,,
73,12/18/20 06:43:00 AM,14.8606,76.876,,
74,12/18/20 06:58:00 AM,14.8629,76.876,,
75,12/18/20 07:13:00 AM,14.8722,76.876,,
76,12/18/20 07:28:00 AM,14.8722,76.876,,
77,12/18/20 07:43:00 AM,14.8723,77.050,,
78,12/18/20 07:58:00 AM,14.8746,77.050,,
79,12/18/20 08:13:00 AM,14.8770,77.050,,
80,12/18/20 08:28:00 AM,14.8819,77.225,,
81,12/18/20 08:43:00 AM,14.8799,77.400,,
82,12/18/20 08:58:00 AM,14.8845,77.400,,
83,12/18/20 09:13:00 AM,14.8845,77.400,,
84,12/18/20 09:28:00 AM,14.8800,77.574,,
85,12/18/20 09:43:00 AM,14.8757,77.749,,
86,12/18/20 09:58:00 AM,14.8735,77.923,,
87,12/18/20 10:13:00 AM,14.8784,78.098,,
88,12/18/20 10:28:00 AM,14.8717,78.274,,
89,12/18/20 10:43:00 AM,14.8719,78.449,,
90,12/18/20 10:58:00 AM,14.8675,78.624,,
91,12/18/20 11:13:00 AM,14.8654,78.800,,
92,12/18/20 11:28:00 AM,14.8680,78.975,,
93,12/18/20 11:43:00 AM,14.8659,79.151,,
94,12/18/20 11:58:00 AM,14.8638,79.326,,
95,12/18/20 12:13:00 PM,14.8640,79.502,,
96,12/18/20 12:28:00 PM,14.8642,79.678,,
97,12/18/20 12:43:00 PM,14.8598,79.853,,
98,12/18/20 12:58:00 PM,14.8578,80.029,,
99,12/18/20 01:13:00 PM,14.8572,79.678,,
100,12/18/20 01:28:00 PM,14.8578,80.029,,
101,12/18/20 01:43:00 PM,14.8533,80.206,,
102,12/18/20 01:58:00 PM,14.8487,80.206,,
103,12/18/20 02:13:00 PM,14.8487,80.206,,
104,12/18/20 02:28:00 PM,14.8464,80.206,,
105,12/18/20 02:43:00 PM,14.8484,80.029,,
106,12/18/20 02:58:00 PM,14.8526,79.678,,
107,12/18/20 03:13:00 PM,14.8453,79.502,,
108,12/18/20 03:28:00 PM,14.8478,79.502,,
109,12/18/20 03:43:00 PM,14.8429,79.326,,
110,12/18/20 03:58:00 PM,14.8403,79.151,,
111,12/18/20 04:13:00 PM,14.8495,79.151,,
112,12/18/20 04:28:00 PM,14.8517,78.975,,
113,12/18/20 04:43:00 PM,14.8468,78.800,,
114,12/18/20 04:58:00 PM,14.8468,78.800,,
115,12/18/20 05:13:00 PM,14.8468,78.800,,
116,12/18/20 05:28:00 PM,14.8465,78.624,,
117,12/18/20 05:43:00 PM,14.8487,78.449,,
118,12/18/20 05:58:00 PM,14.8510,78.449,,
119,12/18/20 06:13:00 PM,14.8484,78.274,,
120,12/18/20 06:28:00 PM,14.8484,78.274,,
121,12/18/20 06:43:00 PM,14.8506,78.098,,
122,12/18/20 06:58:00 PM,14.8506,78.098,,
123,12/18/20 07:13:00 PM,14.8572,77.923,,
124,12/18/20 07:28:00 PM,14.8572,77.923,,
125,12/18/20 07:43:00 PM,14.8572,77.923,,
126,12/18/20 07:58:00 PM,14.8594,77.749,,
127,12/18/20 08:13:00 PM,14.8594,77.749,,
128,12/18/20 08:28:00 PM,14.8591,77.574,,
129,12/18/20 08:43:00 PM,14.8591,77.574,,
130,12/18/20 08:58:00 PM,14.8588,77.400,,
131,12/18/20 09:13:00 PM,14.8611,77.400,,
132,12/18/20 09:28:00 PM,14.8588,77.400,,
133,12/18/20 09:43:00 PM,14.8611,77.400,,
134,12/18/20 09:58:00 PM,14.8564,77.225,,
135,12/18/20 10:13:00 PM,14.8587,77.225,,
136,12/18/20 10:28:00 PM,14.8587,77.225,,
137,12/18/20 10:43:00 PM,14.8587,77.225,,
138,12/18/20 10:58:00 PM,14.8610,77.225,,
139,12/18/20 11:13:00 PM,14.8610,77.225,,
140,12/18/20 11:28:00 PM,14.8610,77.225,,
141,12/18/20 11:43:00 PM,14.8587,77.225,,
142,12/18/20 11:58:00 PM,14.8540,77.225,,
143,12/19/20 12:13:00 AM,14.8517,77.225,,
144,12/19/20 12:28:00 AM,14.8448,77.225,,
145,12/19/20 12:43:00 AM,14.8471,77.225,,
146,12/19/20 12:58:00 AM,14.8424,77.225,,
147,12/19/20 01:13:00 AM,14.8401,77.225,,
148,12/19/20 01:28:00 AM,14.8424,77.225,,
149,12/19/20 01:43:00 AM,14.8401,77.225,,
150,12/19/20 01:58:00 AM,14.8424,77.225,,
151,12/19/20 02:13:00 AM,14.8378,77.225,,
152,12/19/20 02:28:00 AM,14.8332,77.225,,
153,12/19/20 02:43:00 AM,14.8285,77.225,,
154,12/19/20 02:58:00 AM,14.8285,77.225,,
155,12/19/20 03:13:00 AM,14.8237,77.225,,
156,12/19/20 03:28:00 AM,14.8262,77.225,,
157,12/19/20 03:43:00 AM,14.8237,77.225,,
158,12/19/20 03:58:00 AM,14.8285,77.225,,
159,12/19/20 04:13:00 AM,14.8237,77.225,,
160,12/19/20 04:28:00 AM,14.8236,77.050,,
161,12/19/20 04:43:00 AM,14.8236,77.050,,
162,12/19/20 04:58:00 AM,14.8236,77.050,,
163,12/19/20 05:13:00 AM,14.8259,77.050,,
164,12/19/20 05:28:00 AM,14.8282,77.050,,
165,12/19/20 05:43:00 AM,14.8305,77.050,,
166,12/19/20 05:58:00 AM,14.8329,77.050,,
167,12/19/20 06:13:00 AM,14.8352,77.050,,
168,12/19/20 06:28:00 AM,14.8398,77.050,,
169,12/19/20 06:43:00 AM,14.8401,77.225,,
170,12/19/20 06:58:00 AM,14.8424,77.225,,
171,12/19/20 07:13:00 AM,14.8424,77.225,,
172,12/19/20 07:28:00 AM,14.8448,77.225,,
173,12/19/20 07:43:00 AM,14.8448,77.225,,
174,12/19/20 07:58:00 AM,14.8403,77.400,,
175,12/19/20 08:13:00 AM,14.8429,77.574,,
176,12/19/20 08:28:00 AM,14.8406,77.574,,
177,12/19/20 08:43:00 AM,14.8453,77.749,,
178,12/19/20 08:58:00 AM,14.8477,77.749,,
179,12/19/20 09:13:00 AM,14.8477,77.749,,
180,12/19/20 09:28:00 AM,14.8477,77.749,,
181,12/19/20 09:43:00 AM,14.8503,77.923,,
182,12/19/20 09:58:00 AM,14.8503,77.923,,
183,12/19/20 10:13:00 AM,14.8459,78.098,,
184,12/19/20 10:28:00 AM,14.8461,78.274,,
185,12/19/20 10:43:00 AM,14.8437,78.274,,
186,12/19/20 10:58:00 AM,14.8395,78.624,,
187,12/19/20 11:13:00 AM,14.8375,78.800,,
188,12/19/20 11:28:00 AM,14.8421,78.800,,
189,12/19/20 11:43:00 AM,14.8401,78.975,,
190,12/19/20 11:58:00 AM,14.8336,79.326,,
191,12/19/20 12:13:00 PM,14.8384,79.502,,
192,12/19/20 12:28:00 PM,14.8680,78.975,,
193,12/19/20 12:43:00 PM,14.9192,78.975,,
194,12/19/20 12:58:00 PM,14.9561,78.800,,
195,12/19/20 01:13:00 PM,14.9258,78.800,,
196,12/19/20 01:28:00 PM,14.8864,78.800,,
197,12/19/20 01:43:00 PM,14.8635,79.151,,
198,12/19/20 01:58:00 PM,14.8494,78.975,,
199,12/19/20 02:13:00 PM,14.8403,79.151,,
200,12/19/20 02:28:00 PM,14.8337,79.502,,
201,12/19/20 02:43:00 PM,14.8289,79.326,,
202,12/19/20 02:58:00 PM,14.8287,79.151,,
203,12/19/20 03:13:00 PM,14.8307,78.975,,
204,12/19/20 03:28:00 PM,14.8214,78.975,,
205,12/19/20 03:43:00 PM,14.8259,78.800,,
206,12/19/20 03:58:00 PM,14.8259,78.800,,
207,12/19/20 04:13:00 PM,14.8236,78.800,,
208,12/19/20 04:28:00 PM,14.8236,78.800,,
209,12/19/20 04:43:00 PM,14.8233,78.624,,
210,12/19/20 04:58:00 PM,14.8233,78.624,,
211,12/19/20 05:13:00 PM,14.8279,78.624,,
212,12/19/20 05:28:00 PM,14.8279,78.624,,
213,12/19/20 05:43:00 PM,14.8301,78.449,,
214,12/19/20 05:58:00 PM,14.8301,78.449,,
215,12/19/20 06:13:00 PM,14.8321,78.274,,
216,12/19/20 06:28:00 PM,14.8321,78.274,,
217,12/19/20 06:43:00 PM,14.8343,78.098,,
218,12/19/20 06:58:00 PM,14.8318,78.098,,
219,12/19/20 07:13:00 PM,14.8317,77.923,,
220,12/19/20 07:28:00 PM,14.8363,77.923,,
221,12/19/20 07:43:00 PM,14.8340,77.923,,
222,12/19/20 07:58:00 PM,14.8384,77.749,,
223,12/19/20 08:13:00 PM,14.8430,77.749,,
224,12/19/20 08:28:00 PM,14.8430,77.749,,
225,12/19/20 08:43:00 PM,14.8429,77.574,,
226,12/19/20 08:58:00 PM,14.8475,77.574,,
227,12/19/20 09:13:00 PM,14.8475,77.574,,
228,12/19/20 09:28:00 PM,14.8498,77.574,,
229,12/19/20 09:43:00 PM,14.8498,77.574,,
230,12/19/20 09:58:00 PM,14.8522,77.574,,
231,12/19/20 10:13:00 PM,14.8542,77.400,,
232,12/19/20 10:28:00 PM,14.8519,77.400,,
233,12/19/20 10:43:00 PM,14.8542,77.400,,
234,12/19/20 10:58:00 PM,14.8519,77.400,,
235,12/19/20 11:13:00 PM,14.8495,77.400,,
236,12/19/20 11:28:00 PM,14.8449,77.400,,
237,12/19/20 11:43:00 PM,14.8449,77.400,,
238,12/19/20 11:58:00 PM,14.8426,77.400,,
