"Plot Title: Nuuuli_1_Dec"
"#","Date Time, GMT-11:00","Abs Pres, psi (LGR S/N: 10699188, SEN S/N: 10699188)","Temp, °F (LGR S/N: 10699188, SEN S/N: 10699188)","Coupler Detached (LGR S/N: 10699188)","End Of File (LGR S/N: 10699188)"
1,12/18/20 09:00:00 AM,14.8195,76.528,Logged,
2,12/18/20 09:15:00 AM,14.8198,76.703,,
3,12/18/20 09:30:00 AM,14.8173,76.703,,
4,12/18/20 09:45:00 AM,14.8153,76.876,,
5,12/18/20 10:00:00 AM,14.8104,76.876,,
6,12/18/20 10:15:00 AM,14.8082,77.050,,
7,12/18/20 10:30:00 AM,14.8033,77.050,,
8,12/18/20 10:45:00 AM,14.8062,77.225,,
9,12/18/20 11:00:00 AM,14.8012,77.225,,
10,12/18/20 11:15:00 AM,14.7966,77.400,,
11,12/18/20 11:30:00 AM,14.7966,77.400,,
12,12/18/20 11:45:00 AM,14.7946,77.574,,
13,12/18/20 12:00:00 PM,14.7875,77.749,,
14,12/18/20 12:15:00 PM,14.7930,77.923,,
15,12/18/20 12:30:00 PM,14.7933,78.098,,
16,12/18/20 12:45:00 PM,14.7888,78.274,,
17,12/18/20 01:00:00 PM,14.7821,78.624,,
18,12/18/20 01:15:00 PM,14.7821,78.624,,
19,12/18/20 01:30:00 PM,14.7772,78.624,,
20,12/18/20 01:45:00 PM,14.7751,78.800,,
21,12/18/20 02:00:00 PM,14.7705,78.975,,
22,12/18/20 02:15:00 PM,14.7705,78.975,,
23,12/18/20 02:30:00 PM,14.7756,78.975,,
24,12/18/20 02:45:00 PM,14.7730,78.975,,
25,12/18/20 03:00:00 PM,14.7730,78.975,,
26,12/18/20 03:15:00 PM,14.7727,78.800,,
27,12/18/20 03:30:00 PM,14.7698,78.624,,
28,12/18/20 03:45:00 PM,14.7718,78.449,,
29,12/18/20 04:00:00 PM,14.7689,78.274,,
30,12/18/20 04:15:00 PM,14.7680,77.923,,
31,12/18/20 04:30:00 PM,14.7680,77.923,,
32,12/18/20 04:45:00 PM,14.7701,77.749,,
33,12/18/20 05:00:00 PM,14.7676,77.749,,
34,12/18/20 05:15:00 PM,14.7701,77.749,,
35,12/18/20 05:30:00 PM,14.7651,77.749,,
36,12/18/20 05:45:00 PM,14.7676,77.749,,
37,12/18/20 06:00:00 PM,14.7701,77.749,,
38,12/18/20 06:15:00 PM,14.7676,77.749,,
39,12/18/20 06:30:00 PM,14.7701,77.749,,
40,12/18/20 06:45:00 PM,14.7722,77.574,,
41,12/18/20 07:00:00 PM,14.7722,77.574,,
42,12/18/20 07:15:00 PM,14.7743,77.400,,
43,12/18/20 07:30:00 PM,14.7767,77.400,,
44,12/18/20 07:45:00 PM,14.7763,77.225,,
45,12/18/20 08:00:00 PM,14.7738,77.225,,
46,12/18/20 08:15:00 PM,14.7760,77.050,,
47,12/18/20 08:30:00 PM,14.7760,77.050,,
48,12/18/20 08:45:00 PM,14.7785,77.050,,
49,12/18/20 09:00:00 PM,14.7756,76.876,,
50,12/18/20 09:15:00 PM,14.7756,76.876,,
51,12/18/20 09:30:00 PM,14.7780,76.876,,
52,12/18/20 09:45:00 PM,14.7756,76.876,,
53,12/18/20 10:00:00 PM,14.7727,76.703,,
54,12/18/20 10:15:00 PM,14.7702,76.703,,
55,12/18/20 10:30:00 PM,14.7727,76.703,,
56,12/18/20 10:45:00 PM,14.7727,76.703,,
57,12/18/20 11:00:00 PM,14.7751,76.703,,
58,12/18/20 11:15:00 PM,14.7727,76.703,,
59,12/18/20 11:30:00 PM,14.7727,76.703,,
60,12/18/20 11:45:00 PM,14.7727,76.703,,
61,12/19/20 12:00:00 AM,14.7702,76.703,,
62,12/19/20 12:15:00 AM,14.7627,76.703,,
63,12/19/20 12:30:00 AM,14.7577,76.703,,
64,12/19/20 12:45:00 AM,14.7582,76.876,,
65,12/19/20 01:00:00 AM,14.7531,76.876,,
66,12/19/20 01:15:00 AM,14.7531,76.876,,
67,12/19/20 01:30:00 AM,14.7553,76.703,,
68,12/19/20 01:45:00 AM,14.7503,76.703,,
69,12/19/20 02:00:00 AM,14.7477,76.703,,
70,12/19/20 02:15:00 AM,14.7503,76.703,,
71,12/19/20 02:30:00 AM,14.7453,76.703,,
72,12/19/20 02:45:00 AM,14.7403,76.703,,
73,12/19/20 03:00:00 AM,14.7403,76.703,,
74,12/19/20 03:15:00 AM,14.7403,76.703,,
75,12/19/20 03:30:00 AM,14.7354,76.703,,
76,12/19/20 03:45:00 AM,14.7403,76.703,,
77,12/19/20 04:00:00 AM,14.7379,76.703,,
78,12/19/20 04:15:00 AM,14.7379,76.703,,
79,12/19/20 04:30:00 AM,14.7354,76.703,,
80,12/19/20 04:45:00 AM,14.7350,76.528,,
81,12/19/20 05:00:00 AM,14.7374,76.528,,
82,12/19/20 05:15:00 AM,14.7399,76.528,,
83,12/19/20 05:30:00 AM,14.7374,76.528,,
