DateTime,RNF_in
12/1/2015,0.24
12/2/2015,0.07
12/3/2015,0
12/4/2015,0.14
12/5/2015,0
12/6/2015,0
12/7/2015,0
12/8/2015,0
12/9/2015,0
12/10/2015, 
12/11/2015,0
12/12/2015,0
12/13/2015,0.17
12/14/2015,0.67
12/15/2015,0.54
12/16/2015,1.23
12/17/2015,0.42
12/18/2015,2.17
12/19/2015,0.09
12/20/2015,0
12/21/2015,0.05
12/22/2015,0.11
12/23/2015,0.2
12/24/2015,0.59
12/25/2015,0.17
12/26/2015,4.35
12/27/2015,3.49
12/28/2015,5.69
12/29/2015,0.11
12/30/2015,2.74
12/31/2015,0.29
1/1/2016,1.07
1/2/2016,0.02
1/3/2016,0.01
1/4/2016,0
1/5/2016,0
1/6/2016,0.03
1/7/2016,0.67
1/8/2016,0.51
1/9/2016,0.32
1/10/2016,0
1/11/2016,0.08
1/12/2016,0.34
1/13/2016,0.09
1/14/2016,0.14
1/15/2016,0.09
1/16/2016,0.03
1/17/2016,0.13
1/18/2016,0.48
1/19/2016,0.12
1/20/2016,0
1/21/2016,0.01
1/22/2016,0
1/23/2016,0.01
1/24/2016,0
1/25/2016,0
1/26/2016,0.18
1/27/2016,0.01
1/28/2016,0
1/29/2016,0.1
1/30/2016,0
1/31/2016,0
2/1/2016,0
2/2/2016,0.02
2/3/2016, 
2/4/2016,0.12
2/5/2016,0
2/6/2016,0
2/7/2016,0
2/8/2016,0
2/9/2016,0
2/10/2016,0.08
2/11/2016,0
2/12/2016,0
2/13/2016,0
2/14/2016,0
2/15/2016,0.67
2/16/2016,0.4
2/17/2016,0.34
2/18/2016,0.06
2/19/2016,0.39
2/20/2016,0.98
2/21/2016,0.05
2/22/2016,1.76
2/23/2016,0.87
2/24/2016,0.31
2/25/2016,0.02
2/26/2016,0.39
2/27/2016,0
2/28/2016,0.01
2/29/2016,0.02
3/1/2016,0.02
3/2/2016,0.06
3/3/2016,0.39
3/4/2016,0
3/5/2016,0.02
3/6/2016, 
3/7/2016,1.1
3/8/2016,0.32
3/9/2016,0.28
3/10/2016,2.2
3/11/2016,0.24
3/12/2016,0.23
3/13/2016,0.1
3/14/2016,1.23
3/15/2016,0.05
3/16/2016,0.05
3/17/2016,0.06
3/18/2016,0
3/19/2016,0.12
3/20/2016,0.16
3/21/2016,0.26
3/22/2016,0
3/23/2016,0.01
3/24/2016,0
3/25/2016,0.55
3/26/2016,0.28
3/27/2016,1.58
3/28/2016,0.05
3/29/2016,1.16
3/30/2016,0.24
3/31/2016, 
4/1/2016,2.15
4/2/2016,1.78
4/3/2016,0.03
4/4/2016,0.15
4/5/2016,0.03
4/6/2016,0.08
4/7/2016,0.46
4/8/2016,0.03
4/9/2016,2.55
4/10/2016,2.97
4/11/2016,1.03
4/12/2016,0.58
4/13/2016,1.72
4/14/2016,1.45
4/15/2016,1.93
4/16/2016,0.35
4/17/2016,0.37
4/18/2016,0.62
4/19/2016,0.77
4/20/2016,0.07
4/21/2016,0
4/22/2016,1.98
4/23/2016,1.1
4/24/2016,0.03
4/25/2016,0.02
4/26/2016,1.25
4/27/2016, 
4/28/2016,0.45
4/29/2016,4.59
4/30/2016,2.33
5/1/2016,2.37
5/2/2016,0.34
5/3/2016, 
5/4/2016,0.91
5/5/2016,0.01
5/6/2016,0
5/7/2016,0.2
5/8/2016,0.01
5/9/2016,0.01
5/10/2016,0.54
5/11/2016,2.04
5/12/2016,0.01
5/13/2016, 
5/14/2016,0
5/15/2016,0.01
5/16/2016,0
5/17/2016,0.12
5/18/2016,0.05
5/19/2016,0.01
5/20/2016,0
5/21/2016,2.49
5/22/2016,0.07
5/23/2016,0.06
5/24/2016,0.48
5/25/2016, 
5/26/2016,0.13
5/27/2016,0.03
5/28/2016,0
5/29/2016, 
5/30/2016, 
5/31/2016,0
6/1/2016,0
6/2/2016,0.03
6/3/2016,0.1
6/4/2016,0
6/5/2016,0.05
6/6/2016,0
6/7/2016, 
6/8/2016,0.15
6/9/2016,0.03
6/10/2016,1.39
6/11/2016,0.61
6/12/2016,0.19
6/13/2016,0.19
6/14/2016,0.13
6/15/2016,0.37
6/16/2016,0.05
6/17/2016,0.03
6/18/2016, 
6/19/2016,0.13
6/20/2016,0.04
6/21/2016,0.09
6/22/2016,0
6/23/2016,0
6/24/2016,0.02
6/25/2016,0
6/26/2016,0.01
6/27/2016,0.01
6/28/2016,0.26
6/29/2016,0
6/30/2016, 
7/1/2016,0
7/2/2016,0
7/3/2016,0.04
7/4/2016, 
7/5/2016,0.18
7/6/2016,0
7/7/2016,0
7/8/2016, 
7/9/2016,0.08
7/10/2016,0.27
7/11/2016,0.02
7/12/2016,0.51
7/13/2016,0
7/14/2016,0
7/15/2016,0
7/16/2016,0
7/17/2016,0
7/18/2016,0.75
7/19/2016,2.21
7/20/2016,0.18
