DateTime,RNF_in
7/21/2016, 
7/22/2016,0.07
7/23/2016,0.12
7/24/2016,0.01
7/25/2016,0
7/26/2016,0
7/27/2016,0
7/28/2016, 
7/29/2016, 
7/30/2016,0.04
7/31/2016,0
8/1/2016,0
8/2/2016,0
8/3/2016, 
8/4/2016,0
8/5/2016,0.35
8/6/2016, 
8/7/2016,0.04
8/8/2016,0.01
8/9/2016,0
8/10/2016,0.07
8/11/2016,0.11
8/12/2016,0.96
8/13/2016,0
8/14/2016,0.42
8/15/2016,0.19
8/16/2016,0.14
8/17/2016,0.01
8/18/2016,0
8/19/2016, 
8/20/2016,0.52
8/21/2016,0.17
8/22/2016,0.32
8/23/2016,0.79
8/24/2016,0.03
8/25/2016,0
8/26/2016,0
8/27/2016,0
8/28/2016,0.04
8/29/2016,0.02
8/30/2016,0.19
8/31/2016,0.11
9/1/2016,0
9/2/2016,0.25
9/3/2016,0.57
9/4/2016,0.68
9/5/2016,0.15
9/6/2016,0.13
9/7/2016,0.03
9/8/2016,0.23
9/9/2016,0.16
9/10/2016,0.43
9/11/2016,0
9/12/2016, 
9/13/2016,0.14
9/14/2016,0.02
9/15/2016,0.07
9/16/2016, 
9/17/2016,0.33
9/18/2016,0.11
9/19/2016,0.27
9/20/2016,0.03
9/21/2016,0.02
9/22/2016,0.04
9/23/2016,0.36
9/24/2016,0.9
9/25/2016,0.22
9/26/2016,0.03
9/27/2016,0.01
9/28/2016,0.22
9/29/2016,0.05
9/30/2016,0
10/1/2016,0
10/2/2016,0
10/3/2016,0
10/4/2016,0
10/5/2016, 
10/6/2016, 
10/7/2016,0
10/8/2016,0.09
10/9/2016,0.5
10/10/2016,0.03
10/11/2016,0.39
10/12/2016,0
10/13/2016, 
10/14/2016,0.71
10/15/2016,0
10/16/2016,0.03
10/17/2016,0.14
10/18/2016,0.58
10/19/2016,0
10/20/2016,0
10/21/2016,0
10/22/2016,0.69
10/23/2016,0.36
10/24/2016,0.09
10/25/2016,0.12
10/26/2016,0.05
10/27/2016,0.3
10/28/2016,0.04
10/29/2016,0.01
10/30/2016,0.11
10/31/2016,0.88
11/1/2016,0.03
11/2/2016,0
11/3/2016,0.06
11/4/2016,0.1
11/5/2016,0
11/6/2016,2.19
11/7/2016,5.11
11/8/2016,0.19
11/9/2016,0.31
11/10/2016,3.27
11/11/2016,0
11/12/2016,0
11/13/2016, 
11/14/2016,0.05
11/15/2016,0.09
11/16/2016,0.07
11/17/2016,0.14
11/18/2016,0.15
11/19/2016,0.25
11/20/2016,0.06
11/21/2016,0.05
11/22/2016,0.1
11/23/2016,0.06
11/24/2016,0.05
11/25/2016,0.19
11/26/2016,0.34
11/27/2016,0
11/28/2016, 
11/29/2016,0
11/30/2016,0
12/1/2016,0
12/2/2016,0
12/3/2016,0.14
12/4/2016,0
12/5/2016,0.42
12/6/2016,0.07
12/7/2016,0.37
12/8/2016,0.2
12/9/2016,0.04
12/10/2016,0.03
12/11/2016,0.04
12/12/2016,0.44
12/13/2016,0.28
12/14/2016,0.76
12/15/2016,0.22
12/16/2016,0.15
12/17/2016,2.18
12/18/2016,0.02
12/19/2016,1.31
12/20/2016,0.18
12/21/2016,0.38
12/22/2016,1.44
12/23/2016,1.27
12/24/2016,0.34
12/25/2016,0.1
12/26/2016,0
12/27/2016,0.01
12/28/2016,0.86
12/29/2016,0.05
12/30/2016,2.86
12/31/2016,0.08
1/1/2017,0.14
1/2/2017,0
1/3/2017,0.54
1/4/2017,0.25
1/5/2017,0.02
1/6/2017,0.35
1/7/2017,0.16
1/8/2017, 
1/9/2017,0.2
1/10/2017,0
1/11/2017,0.24
1/12/2017,0.03
1/13/2017,1.03
1/14/2017,0.77
1/15/2017,0.03
1/16/2017,0.16
1/17/2017,0.32
1/18/2017,0
1/19/2017,0.26
1/20/2017,0.25
1/21/2017,0.03
1/22/2017,1.25
1/23/2017,0.01
1/24/2017,0.17
1/25/2017,0.08
1/26/2017,0.29
1/27/2017,0.2
1/28/2017, 
1/29/2017,0.58
1/30/2017,1.85
1/31/2017,0.36
2/1/2017,0.16
2/2/2017,0.51
2/3/2017,0
2/4/2017,0.25
2/5/2017,0.09
2/6/2017,0.81
2/7/2017,0.67
2/8/2017,3.27
2/9/2017,0.71
2/10/2017,1.37
2/11/2017,0.2
2/12/2017,0
2/13/2017,0.02
2/14/2017,0.45
2/15/2017,2.98
2/16/2017,0.52
2/17/2017,0.21
2/18/2017,2.82
2/19/2017,1.01
2/20/2017,0.41
2/21/2017,0.29
2/22/2017,0.35
2/23/2017,0.48
2/24/2017,0.43
2/25/2017,0
2/26/2017,0.02
2/27/2017,0.05
2/28/2017,0.28
3/1/2017,0.06
3/2/2017,0.03
3/3/2017,0.24
3/4/2017,0
3/5/2017,0
3/6/2017,0.02
3/7/2017,0.09
3/8/2017,0.22
3/9/2017,0.52
3/10/2017,0.06
3/11/2017,0.03
3/12/2017,1.21
3/13/2017,0.03
3/14/2017,0.02
3/15/2017,0
3/16/2017,0.06
3/17/2017,1.07
3/18/2017,0.11
3/19/2017,0
3/20/2017,0.25
3/21/2017,0
3/22/2017,0.38
3/23/2017,0.08
3/24/2017,0.05
3/25/2017,0.01
3/26/2017,0.06
3/27/2017,0.14
3/28/2017,0.11
3/29/2017,0.1
3/30/2017,0.25
3/31/2017,0.3
4/1/2017,0.05
4/2/2017,0.04
4/3/2017,0.74
4/4/2017,0.74
4/5/2017,1.38
4/6/2017, 
4/7/2017,0
4/8/2017,0.24
4/9/2017,0.43
4/10/2017,1.18
4/11/2017,0.63
4/12/2017,0.26
4/13/2017,0
4/14/2017,0.26
4/15/2017,0
4/16/2017,0.08
4/17/2017,0
4/18/2017,0
4/19/2017,0
4/20/2017,0
4/21/2017,0.06
4/22/2017, 
4/23/2017, 
4/24/2017,0.55
4/25/2017,0.01
4/26/2017,0.09
4/27/2017,0.01
4/28/2017,0
4/29/2017,0.77
4/30/2017,0.62
5/1/2017,0.25
5/2/2017,0.37
5/3/2017,0.68
5/4/2017,0.36
5/5/2017,0.07
5/6/2017,1.17
5/7/2017,0.22
5/8/2017,0.64
5/9/2017,1.11
5/10/2017,8.03
5/11/2017,2.5
5/12/2017,0.03
5/13/2017,1.72
5/14/2017,0.09
5/15/2017,2.25
5/16/2017,0.86
5/17/2017,0.15
5/18/2017,0.05
5/19/2017,0.06
5/20/2017,0.66
5/21/2017,0.08
5/22/2017,0.79
5/23/2017,0.56
5/24/2017,0.17
5/25/2017,0.11
5/26/2017,0.13
5/27/2017,0
5/28/2017,0.09
5/29/2017,0
5/30/2017,0.02
5/31/2017,0.01
6/1/2017,0.27
6/2/2017,0
6/3/2017,0.04
6/4/2017,0
6/5/2017,0
6/6/2017,0.02
6/7/2017,0.29
6/8/2017,0
6/9/2017,0
6/10/2017,0
6/11/2017,0.03
6/12/2017,0.24
6/13/2017,0.57
6/14/2017,0.05
6/15/2017,0.09
6/16/2017,0.01
6/17/2017,0.01
6/18/2017,0.27
6/19/2017,0.62
6/20/2017,0.2
6/21/2017,0.8
6/22/2017,0.51
6/23/2017,0.06
6/24/2017,0.04
6/25/2017,0
6/26/2017,0.03
6/27/2017,0
6/28/2017,0.38
6/29/2017,0.45
6/30/2017,0.03
7/1/2017, 
7/2/2017,0.11
7/3/2017,1.23
7/4/2017,0.15
7/5/2017,0
7/6/2017,0
7/7/2017,0.2
7/8/2017,0
7/9/2017,0.07
7/10/2017,0
7/11/2017,0
7/12/2017,0.52
7/13/2017,0.07
7/14/2017,0.11
7/15/2017,0.77
7/16/2017,0.03
7/17/2017,0.1
7/18/2017,0.28
7/19/2017,0.11
7/20/2017,0.01
7/21/2017,0.04
7/22/2017, 
7/23/2017,0.02
7/24/2017,0.06
7/25/2017, 
7/26/2017,0.06
7/27/2017,0.21
7/28/2017,0
7/29/2017,0.51
7/30/2017, 
7/31/2017, 
8/1/2017,0.01
8/2/2017,0
8/3/2017,0
8/4/2017,0
8/5/2017,0.66
8/6/2017, 
8/7/2017, 
8/8/2017,0
8/9/2017,0.03
8/10/2017,0.02
8/11/2017,0.4
8/12/2017,0.06
8/13/2017,1
8/14/2017,0.37
8/15/2017,1.23
8/16/2017,0.23
8/17/2017,0.19
8/18/2017,0.15
8/19/2017,0.92
8/20/2017,1.78
8/21/2017,0.01
8/22/2017,0.03
8/23/2017,0.03
8/24/2017,0
8/25/2017,0.02
8/26/2017,0.03
8/27/2017,0.43
8/28/2017,0.02
8/29/2017,0.13
8/30/2017,0.02
8/31/2017,0.01
9/1/2017,0.01
9/2/2017,0.3
9/3/2017,0.09
9/4/2017,0.03
9/5/2017,0.02
9/6/2017,0.07
9/7/2017,0
9/8/2017, 
9/9/2017,0
9/10/2017,0.01
9/11/2017,0.04
9/12/2017,0
9/13/2017,0
9/14/2017,0
9/15/2017,0
9/16/2017,0.01
9/17/2017,0.07
9/18/2017,0.88
9/19/2017,0.19
9/20/2017,0.05
9/21/2017,0.01
9/22/2017,0.43
9/23/2017,3.35
9/24/2017,0.05
9/25/2017,0.1
9/26/2017,0.11
9/27/2017,0.28
9/28/2017,0.06
9/29/2017,0.02
9/30/2017,0.08
10/1/2017,0
10/2/2017,0.74
10/3/2017,0.27
10/4/2017,0.02
10/5/2017,0.01
10/6/2017,0.26
10/7/2017,0.1
10/8/2017,0.08
10/9/2017,0.06
10/10/2017,0.09
10/11/2017,0.19
10/12/2017,3.88
10/13/2017,0.18
10/14/2017,0.08
10/15/2017,0.22
10/16/2017,1.23
10/17/2017,0
10/18/2017,4.06
10/19/2017,1
10/20/2017, 
10/21/2017,1.65
10/22/2017,0.03
10/23/2017,0.25
10/24/2017,0.13
10/25/2017,0.07
10/26/2017,0.33
10/27/2017,0.6
10/28/2017,0
10/29/2017,2.01
10/30/2017,1.39
10/31/2017,1.18
11/1/2017,0.09
11/2/2017,0.09
11/3/2017,0
11/4/2017,0.06
11/5/2017,0.05
11/6/2017,0.11
11/7/2017,0.61
11/8/2017,0.12
11/9/2017,0
11/10/2017,0
11/11/2017,0.1
11/12/2017,0.24
11/13/2017,0.15
11/14/2017,0.2
11/15/2017,0.26
11/16/2017,0.16
11/17/2017,0.29
11/18/2017,0
11/19/2017,0.01
11/20/2017,0.64
11/21/2017,0.19
11/22/2017,0.07
11/23/2017,3.61
11/24/2017,1.78
11/25/2017,0.74
11/26/2017,0.31
11/27/2017,0
11/28/2017,1.11
11/29/2017,1.86
11/30/2017,0.04
12/1/2017,0.26
12/2/2017,0.24
12/3/2017,0.51
12/4/2017,0.01
12/5/2017,0.01
12/6/2017,0.95
12/7/2017,1.74
12/8/2017,0.63
12/9/2017,0.41
12/10/2017,2.42
12/11/2017,0.4
12/12/2017,0.23
12/13/2017,0.3
12/14/2017,0.33
12/15/2017,0.01
12/16/2017,0.47
12/17/2017,0.27
12/18/2017,1.18
12/19/2017,0.63
12/20/2017,0.13
12/21/2017,0.01
12/22/2017,0
12/23/2017,0.05
12/24/2017,0
12/25/2017,0.14
12/26/2017,0
12/27/2017, 
12/28/2017,0.06
12/29/2017,0.52
12/30/2017,0.15
12/31/2017,0
1/1/2018,0.75
1/2/2018,0
1/3/2018,0.06
1/4/2018,0
1/5/2018,0.01
1/6/2018,2.37
1/7/2018,0.14
1/8/2018,0.36
1/9/2018,2.04
1/10/2018,2.01
1/11/2018,0
1/12/2018,0.01
1/13/2018,0.39
1/14/2018,0
1/15/2018,0.1
1/16/2018,0.02
1/17/2018,0.03
1/18/2018,0.23
1/19/2018,0.63
1/20/2018,0.27
1/21/2018,1.13
1/22/2018,1.53
1/23/2018,0.41
1/24/2018,0.2
1/25/2018,0.12
1/26/2018,0.99
1/27/2018,0.13
1/28/2018,0.34
1/29/2018,0.5
1/30/2018,0.6
1/31/2018,0
2/1/2018,0.03
2/2/2018,1.44
2/3/2018,1.14
2/4/2018,0.36
2/5/2018,0.57
2/6/2018,5.44
2/7/2018,7.23
2/8/2018,4.36
2/9/2018,5.61
2/10/2018,0.16
2/11/2018,0.07
2/12/2018,0.05
2/13/2018, 
2/14/2018, 
2/15/2018,0.41
2/16/2018,0.11
2/17/2018,0.71
2/18/2018,0.19
2/19/2018,0
2/20/2018,0
2/21/2018,0
2/22/2018,0.61
2/23/2018,3.16
2/24/2018,0.17
2/25/2018,0.28
2/26/2018,0.36
2/27/2018,0.01
2/28/2018, 
3/1/2018,0.3
3/2/2018,0.04
3/3/2018,0.29
3/4/2018,0.11
3/5/2018,0.02
3/6/2018,0.62
3/7/2018,0.15
3/8/2018,0.02
3/9/2018,0.04
3/10/2018,0
3/11/2018,0.01
3/12/2018,0.24
3/13/2018,0.04
3/14/2018,0
3/15/2018,0
3/16/2018,0.05
3/17/2018,0.44
3/18/2018,0.5
3/19/2018,0.19
3/20/2018,0.38
3/21/2018,0.1
3/22/2018,0.13
3/23/2018,0.21
3/24/2018,1.48
3/25/2018,0.02
3/26/2018,0
3/27/2018,0.45
3/28/2018,0.4
3/29/2018,0.12
3/30/2018,0
3/31/2018,0.01
4/1/2018,0
4/2/2018,0
4/3/2018,1.21
4/4/2018,1.11
4/5/2018,0.4
4/6/2018,0.79
4/7/2018,0.53
4/8/2018,2.12
4/9/2018,0.56
4/10/2018,0.2
4/11/2018,0.34
4/12/2018,0.01
4/13/2018,0.1
4/14/2018,2.07
4/15/2018,1.9
4/16/2018,1.9
4/17/2018,3.07
4/18/2018,0.04
4/19/2018,0.15
4/20/2018,0.03
4/21/2018,0.01
4/22/2018,0
4/23/2018,0.63
4/24/2018,0.22
4/25/2018,0
4/26/2018,0
4/27/2018,0.32
4/28/2018, 
4/29/2018,0.01
4/30/2018,0.04
5/1/2018,0.06
5/2/2018,0.2
5/3/2018,0.01
5/4/2018,0.01
5/5/2018,0.53
5/6/2018,1.14
5/7/2018, 
5/8/2018,0.73
5/9/2018,3.06
5/10/2018, 
5/11/2018,0
5/12/2018,0
5/13/2018,0.07
5/14/2018,0.07
5/15/2018,0.15
5/16/2018,0.03
5/17/2018,0
5/18/2018,0.06
5/19/2018,0.02
5/20/2018,0.06
5/21/2018, 
5/22/2018,0
5/23/2018,0.02
5/24/2018,0.06
5/25/2018,0.05
5/26/2018,1.04
5/27/2018,0.02
5/28/2018,0.08
5/29/2018,1.03
5/30/2018,0
5/31/2018,0.76
6/1/2018,0.06
6/2/2018,0.03
6/3/2018,0
6/4/2018,0
6/5/2018, 
6/6/2018,0
6/7/2018,0.19
6/8/2018,0.53
6/9/2018,0.12
6/10/2018, 
6/11/2018,0.01
6/12/2018, 
6/13/2018,0.1
6/14/2018,0.05
6/15/2018,0.11
6/16/2018,0.06
6/17/2018,1.08
6/18/2018,0.01
6/19/2018,0
6/20/2018,0.02
6/21/2018,0.05
6/22/2018,0.56
6/23/2018,0
6/24/2018,0
6/25/2018,0
6/26/2018,0
6/27/2018,0
6/28/2018,0.23
6/29/2018,0.02
6/30/2018,0.01
7/1/2018,0.04
7/2/2018,0.06
7/3/2018,0.22
7/4/2018,0.22
7/5/2018,4.24
7/6/2018,2.06
7/7/2018, 
7/8/2018,0.08
7/9/2018, 
7/10/2018,0
7/11/2018,0.33
7/12/2018, 
7/13/2018,0.05
7/14/2018,0.08
7/15/2018,0.02
7/16/2018,0.31
7/17/2018,0.03
7/18/2018,0
7/19/2018,0.05
7/20/2018,0.37
7/21/2018, 
7/22/2018,0.48
7/23/2018,0
7/24/2018,0
7/25/2018,0
7/26/2018,0
7/27/2018,0
7/28/2018,0
7/29/2018,0.11
7/30/2018,0.53
7/31/2018,0.4
8/1/2018,0.27
8/2/2018,0.14
8/3/2018,0.86
8/4/2018,0.05
8/5/2018,0
8/6/2018,0
8/7/2018,0
8/8/2018,0
8/9/2018,0
8/10/2018,0.17
8/11/2018,0.22
8/12/2018,0.98
8/13/2018,0.33
8/14/2018,0.69
8/15/2018,0.44
8/16/2018,2.22
8/17/2018,0.18
8/18/2018,2.18
8/19/2018,0
8/20/2018, 
8/21/2018,0.11
8/22/2018,0
8/23/2018,0
8/24/2018,0.03
8/25/2018,0.01
8/26/2018,0.04
8/27/2018,0.45
8/28/2018,0.03
8/29/2018,0.01
8/30/2018,0.29
8/31/2018,0.05
9/1/2018,0.08
9/2/2018,0
9/3/2018,0.95
9/4/2018,0.04
9/5/2018,0.04
9/6/2018,0
9/7/2018,0
9/8/2018,0
9/9/2018,0
9/10/2018,0.11
9/11/2018,0
9/12/2018,0.23
9/13/2018,2.11
9/14/2018,0
9/15/2018,0
9/16/2018,0
9/17/2018,0.7
9/18/2018,0.9
9/19/2018,0.79
9/20/2018,0.42
9/21/2018,0
9/22/2018,0
9/23/2018,0.01
9/24/2018,0
9/25/2018,0
9/26/2018,0.33
9/27/2018,0.01
9/28/2018,0.03
9/29/2018,0
9/30/2018,1.85
10/1/2018,0.45
10/2/2018,0.47
10/3/2018, 
10/4/2018, 
10/5/2018,0
10/6/2018,0.01
10/7/2018,0.01
10/8/2018,1.32
10/9/2018,0.12
10/10/2018,1.94
10/11/2018,0.03
10/12/2018,0.18
10/13/2018,0.05
10/14/2018,0.04
10/15/2018,0.03
10/16/2018,0.07
10/17/2018,0.47
10/18/2018,0.36
10/19/2018,3.26
10/20/2018,0.25
10/21/2018,0.2
10/22/2018,0.16
10/23/2018,0.24
10/24/2018,0
10/25/2018,0
10/26/2018,0
10/27/2018,0.02
10/28/2018,0.1
10/29/2018,0
10/30/2018,1.75
10/31/2018,0.46
11/1/2018,0
11/2/2018,1.1
11/3/2018,0.17
11/4/2018,0.05
11/5/2018,2.24
11/6/2018,0.73
11/7/2018,2.93
11/8/2018,0.43
11/9/2018,0.02
11/10/2018,0.02
11/11/2018,0.78
11/12/2018, 
11/13/2018,0
11/14/2018,0.34
11/15/2018,1.36
11/16/2018,0.04
11/17/2018,0.32
11/18/2018,0.01
11/19/2018,0
11/20/2018,0.17
11/21/2018,0
11/22/2018,0.38
11/23/2018,0.05
11/24/2018,0
11/25/2018,0.13
11/26/2018,0.21
11/27/2018,0.18
11/28/2018,0
11/29/2018,0
11/30/2018,0.24
12/1/2018,0.48
12/2/2018,0.12
12/3/2018,0.05
12/4/2018,1.32
12/5/2018,0.15
12/6/2018,0.1
12/7/2018,1.42
12/8/2018,1.02
12/9/2018,2.83
12/10/2018,5.17
12/11/2018,1.9
12/12/2018,1.09
12/13/2018,0
12/14/2018, 
12/15/2018,0.83
12/16/2018,0.03
12/17/2018,0.02
12/18/2018,0
12/19/2018,0
12/20/2018,0.54
12/21/2018,0.07
12/22/2018,0.48
12/23/2018,0.64
12/24/2018,0.39
12/25/2018,0.64
12/26/2018,0.36
12/27/2018,1.06
12/28/2018,0.54
12/29/2018,0.8
12/30/2018,0.29
12/31/2018,0.25
1/1/2019,0.27
1/2/2019,0.68
1/3/2019,0
1/4/2019,0
1/5/2019,0.41
1/6/2019,0.37
1/7/2019,2.13
1/8/2019,0.22
1/9/2019,0
1/10/2019,0.21
1/11/2019,0.39
1/12/2019,0.46
1/13/2019,0.32
1/14/2019,0.24
1/15/2019,0.74
1/16/2019,0.03
1/17/2019,0.07
1/18/2019,0.38
1/19/2019,0.03
1/20/2019,0.14
1/21/2019,0.09
1/22/2019,0
1/23/2019,0.59
1/24/2019,0.99
1/25/2019,0.95
1/26/2019,0.65
1/27/2019,0.66
1/28/2019,0.01
1/29/2019,0
1/30/2019,0.07
1/31/2019,0
2/1/2019,0.15
2/2/2019,0.03
2/3/2019,0.78
2/4/2019,2.95
2/5/2019,0.16
2/6/2019,0.14
2/7/2019,0
2/8/2019,0.06
2/9/2019,0.58
2/10/2019,0.42
2/11/2019,1.28
2/12/2019,0
2/13/2019,0
2/14/2019,1.02
2/15/2019,0
2/16/2019,0
2/17/2019,0.12
2/18/2019,0.02
2/19/2019,0.06
2/20/2019,0.09
2/21/2019,0
2/22/2019,2.53
2/23/2019,4.86
2/24/2019,0.6
2/25/2019,4.73
2/26/2019,2.56
2/27/2019,0.7
2/28/2019,0.2
3/1/2019,0.07
3/2/2019,0.01
3/3/2019,0
3/4/2019,0.59
3/5/2019,0.65
3/6/2019,1.81
3/7/2019, 
3/8/2019,0.79
3/9/2019,0.05
3/10/2019,0.16
3/11/2019,0
3/12/2019,0.03
3/13/2019,0.72
3/14/2019,0.67
3/15/2019,0
3/16/2019,0
3/17/2019,0.98
3/18/2019,0
3/19/2019,0.62
3/20/2019,0.19
3/21/2019,0.96
3/22/2019,0.69
3/23/2019,0.06
3/24/2019,0.25
3/25/2019,0.77
3/26/2019,0.3
3/27/2019,0.08
3/28/2019,0.02
3/29/2019,0
3/30/2019,1
3/31/2019,0
4/1/2019,0.04
4/2/2019,1.02
4/3/2019,0.11
4/4/2019,0.02
4/5/2019,0
4/6/2019,0.37
4/7/2019,0.14
4/8/2019,0
4/9/2019,0.3
4/10/2019,0
4/11/2019,0
4/12/2019,0
4/13/2019,0.09
4/14/2019,0.25
4/15/2019,0.21
4/16/2019,0
4/17/2019, 
4/18/2019,0.26
4/19/2019,0.18
4/20/2019,0.19
4/21/2019,0.31
4/22/2019,0.56
4/23/2019,0.36
4/24/2019,0.2
4/25/2019,1.02
4/26/2019,3.48
4/27/2019, 
4/28/2019,0.89
4/29/2019,0.13
4/30/2019,0.04
5/1/2019,0.66
5/2/2019,0.54
5/3/2019,2.16
5/4/2019,1.71
5/5/2019,0.09
5/6/2019,0
5/7/2019,0.79
5/8/2019,0.37
5/9/2019, 
5/10/2019,0.75
5/11/2019,0.23
5/12/2019,3.22
5/13/2019,1.76
5/14/2019,0.08
5/15/2019,0.04
5/16/2019,0.65
5/17/2019,0.44
5/18/2019,0.04
5/19/2019,0.51
5/20/2019,0
5/21/2019,0
5/22/2019,0
5/23/2019,0.26
5/24/2019, 
5/25/2019,0
5/26/2019,0.04
5/27/2019,0.15
5/28/2019,0.13
5/29/2019,0.18
5/30/2019,0.11
5/31/2019,0
6/1/2019,0
6/2/2019,0
6/3/2019,0.01
6/4/2019,0.04
6/5/2019,0.01
6/6/2019,0
6/7/2019,0.16
6/8/2019,1.03
6/9/2019,0.5
6/10/2019,0.25
6/11/2019,2.18
6/12/2019,0.47
6/13/2019,0
6/14/2019,0.01
6/15/2019,0.18
6/16/2019,0
6/17/2019,0.02
6/18/2019,0.08
6/19/2019,0.05
6/20/2019, 
6/21/2019,0.03
6/22/2019, 
6/23/2019, 
6/24/2019,0.49
6/25/2019,0.03
6/26/2019, 
6/27/2019,0
6/28/2019,0.23
6/29/2019,0.23
6/30/2019,0.24
7/1/2019,0.24
7/2/2019,0.16
7/3/2019,0.09
7/4/2019,0.04
7/5/2019,0.11
7/6/2019,0.06
7/7/2019,0.45
7/8/2019,0
7/9/2019,0
7/10/2019,0.31
7/11/2019,0.05
7/12/2019,0
7/13/2019,0.02
7/14/2019,0.62
7/15/2019,0.61
7/16/2019,0.04
7/17/2019,0.92
7/18/2019,0.15
7/19/2019,0.31
7/20/2019,0.08
7/21/2019,0.08
7/22/2019,1.55
7/23/2019,5.27
7/24/2019,1.59
7/25/2019,0.21
