VILLAGE,Perenial ,Active,Households,Status ,,Notes,,,,,,Number as label ,
Aasu,0,NO,0,No longer used ,,,,,,,,Active System Yellow ,
Afao,1,YES,70+,Actively used ,,,,,,,,May be used Light yellow ,
Afono,1,YES,??,Actively used ,,,,,,,,No longer used  light blue    ,
Agugulu,,,,No Data ,,,,,,,,No Perenial Stream Grey,
Alao,1,YES,10+,Actively used ,,,,,,,,No data Hollow,
Alega,1,YES,1+,Actively used ,,I know candyman's village water system feeds at least their household ,,,,,,,
Alofau,1,YES,6,Actively used ,,,,,,,,,
Amaluia,1,YES,10,Actively used ,,,,,,,,Totals ,
Amanave,1,,,No Data ,,No additional data,,,,,,24,Actively used 
Amaua,1,NO,0,No longer used ,,Auto & Amaua,,,,,,10,No longer used 
Amouli,1,YES,20+,Actively used ,,,,,,,,4,May be used
Anua,,,,No Perenial Stream,,,,,,,,13,No Perenial Stream
Aoa,1,YES,20+,Actively used ,,,,,,,,11,No Data 
Aoloau,0,YES,??,Actively used ,,No additional data,,,,,,,
Asili,1,YES,17,Actively used ,,,,,,,,,
Atuu,0,NO,0,No longer used ,,Atu'u & Satala,,,,,,,
Aua,1,YES,??,Actively used ,,,,,,,49,,
Auasi,,,,No Data ,,,,,,,,,
Aumi,,,,No Data ,,,,,,,,,
Aunuu,0,NO,,No Perenial Stream,,,,,,,,,
Auto,1,NO,0,No longer used ,,Auto & Amaua,,,,,,,
Avaio,,,,No Data ,,,,,,,,,
Fagaalu,1,YES,??,Actively used ,,Number unknown ,,,,,,,
Fagaitua,1,Maybe,??,May be used,,,,,,,,,
Fagalii,1,YES,30+,Actively used ,,,,,,,,,
Fagamalo,1,Maybe,??,May be used,,Mayor said I don’t know ,,,,,,,
Faganeanea,1,Maybe ,??,May be used,,Matu'u & Faganeanea,,,,,,,
Fagasa,1,YES,70,Actively used ,,,,,,,,,
Fagatogo,1,NO,0,No longer used ,,,,,,,,,
Failolo,,,,No Data ,,,,,,,,,
Faleniu,0,,,No Perenial Stream,,,,,,,,,
Fatumafuti,,,,No Perenial Stream,,,,,,,,,
Futiga,0,NO,,No Perenial Stream,,,,,,,,,
Iliili,0,,,No Perenial Stream,,,,,,,,,
Laulii,1,YES,60+,Actively used ,,,,,,,,,
Leloaloa,0,NO,,No Perenial Stream,,,,,,,,,
Leone,1,YES,??,Actively used ,,,,,,,,,
Malaeimi,,,,No Data ,,,,,,,,,
Malaeloa Aitulagi,,,,No Perenial Stream,,,,,,,,,
Malaeloa Ituau,,,,No Perenial Stream,,,,,,,,,
Maloata,1,NO,0,No longer used ,,,,,,,,,
Mapusagafou,0,NO,0,No longer used ,,Mapusaga & Mesepa,,,,,,,
Masausi,1,YES,2,Actively used ,,,,,,,,,
Masefau,1,Yes,10,Actively used ,,,,,,,,,
Matuu,1,Maybe ,??,May be used,,Matu'u & Faganeanea,,,,,,,
Mesepa,0,NO,,No Perenial Stream,,Mapusaga & Mesepa,,,,,,,
Nua,1,YES,10+,Actively used ,,Nua & Se'etaga,,,,,,,
Nuuuli,1,YES,??,Actively used ,,,,,,,,,
Onenoa,1,YES,1,Actively used ,,,,,,,,,
Pagai,,,,No Data ,,,,,,,,,
Pago Pago,1,YES,8,Actively used ,,Combine with Pago #2,,,,,,,
Pavaiai,0,,,No Perenial Stream,,,,,,,,,
Poloa,1,,,No Data ,,,,,,,,,
Sailele,1,NO,0,No longer used ,,,,,,,,,
Seetaga,1,YES,10+,Actively used ,,Nua & Se'etaga,,,,,,,
Tafuna,0,NO,0,No longer used ,,,,,,,,,
Taputimu,0,NO,,No Perenial Stream,,,,,,,,,
Tula,1,,,No Data ,,,,,,,,,
Utulei,1,,,No Data ,,,,,,,,,
Utumea East,,,,No Data ,,,,,,,,,
Utumea West,,,,No Data ,,,,,,,,,
Vailoatai,0,NO,0,No longer used ,,,,,,,,,
Vaitogi,0,NO,,No Perenial Stream,,,,,,,,,
Vatia,1,YES,30,Actively used ,,,,,,,,,
